title,genre,director,actors,description,image,rating,bag_of_words
Serbuan maut 2: Berandal,action crime thriller,gareth evans,"[,ikouwais,yayanruhian,arifinputra,]","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","https://m.media-amazon.com/images/M/MV5BMTg5MTE2NjA4OV5BMl5BanBnXkFtZTgwMTUyMjczMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,action crime thrillergareth evans ikouwais yayanruhian arifinputra Only a short time after the first raid  Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.
The Wild Bunch,action adventure drama,sam peckinpah,"[,williamholden,ernestborgnine,robertryan,]","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","https://m.media-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,"action adventure dramasam peckinpah williamholden ernestborgnine robertryan An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Ying xiong,action adventure drama,yimou zhang,"[,jetli,tonyleungchiu-wai,maggiecheung,]","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","https://m.media-amazon.com/images/M/MV5BMWQ2MjQ0OTctMWE1OC00NjZjLTk3ZDAtNTk3NTZiYWMxYTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,action adventure dramayimou zhang jetli tonyleungchiu-wai maggiecheung A defense officer  Nameless  was summoned by the King of Qin regarding his success of terminating three warriors.
Patton,biography drama war,george s. patton,"[,franklinj.schaffner,georgec.scott,karlmalden,stephenyoung,]",The World War II phase of the career of controversial American general George S. Patton.,"https://m.media-amazon.com/images/M/MV5BMmNhZmJhMmYtNjlkMC00MjhjLTk1NzMtMTNlMzYzNjZlMjNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,biography drama wargeorge s. patton franklinj.schaffner georgec.scott karlmalden stephenyoung The World War II phase of the career of controversial American general George S. Patton.
Nosferatu,fantasy horror,f.w. murnau,"[,maxschreck,alexandergranach,gustavvonwangenheim,]",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,fantasy horrorf.w. murnau maxschreck alexandergranach gustavvonwangenheim Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
Dancer in the Dark,crime drama musical,lars von trier,"[,björk,catherinedeneuve,davidmorse,]",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,"https://m.media-amazon.com/images/M/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama musicallars von trier björk catherinedeneuve davidmorse An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
Manbiki kazoku,crime drama thriller,kore-eda hirokazu,"[,lilyfranky,sakuraando,kirinkiki,]","On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.","https://m.media-amazon.com/images/M/MV5BYWZmOTY0MDAtMGRlMS00YjFlLWFkZTUtYmJhYWNlN2JjMmZkXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama thrillerkore-eda hirokazu lilyfranky sakuraando kirinkiki On the margins of Tokyo  a dysfunctional band of outsiders are united by loyalty  a penchant for petty theft and playful grifting. When the young son is arrested  secrets are exposed that upend their tenuous  below-the-radar existence.
Letters from Iwo Jima,action adventure drama,clint eastwood,"[,kenwatanabe,kazunarininomiya,tsuyoshiihara,]","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","https://m.media-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,action adventure dramaclint eastwood kenwatanabe kazunarininomiya tsuyoshiihara The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II  as told from the perspective of the Japanese who fought it.
Sing Street,comedy drama music,john carney,"[,ferdiawalsh-peelo,aidangillen,mariadoylekennedy,]",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"https://m.media-amazon.com/images/M/MV5BMjEzODA3MDcxMl5BMl5BanBnXkFtZTgwODgxNDk3NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy drama musicjohn carney ferdiawalsh-peelo aidangillen mariadoylekennedy A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
Rope,crime drama mystery,alfred hitchcock,"[,jamesstewart,johndall,farleygranger,]",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"https://m.media-amazon.com/images/M/MV5BYWFjMDNlYzItY2VlMS00ZTRkLWJjYTEtYjI5NmFlMGE3MzQ2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama mysteryalfred hitchcock jamesstewart johndall farleygranger Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
The Artist,comedy drama romance,michel hazanavicius,"[,jeandujardin,bérénicebejo,johngoodman,]",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY98_CR1,0,67,98_AL_.jpg",7.9,comedy drama romancemichel hazanavicius jeandujardin bérénicebejo johngoodman An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
Togo,adventure biography drama,ericson core,"[,willemdafoe,juliannenicholson,christopherheyerdahl,]","The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.","https://m.media-amazon.com/images/M/MV5BNjJkYTc5N2UtMGRlMC00M2FmLTk0ZWMtOTYxNDUwNjI2YzljXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,adventure biography dramaericson core willemdafoe juliannenicholson christopherheyerdahl The story of Togo  the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.
Cat on a Hot Tin Roof,drama,richard brooks,"[,elizabethtaylor,paulnewman,burlives,]",Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,"https://m.media-amazon.com/images/M/MV5BMzFhNTMwNDMtZjY3Yy00NzY3LWI1ZWQtZTQxMWJmODVhZWFkXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,dramarichard brooks elizabethtaylor paulnewman burlives Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
Notorious,drama film-noir romance,alfred hitchcock,"[,carygrant,ingridbergman,clauderains,]",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,"https://m.media-amazon.com/images/M/MV5BYTc1NGViOTMtNjZhNS00OGY2LWI4MmItOWQwNTY4MDMzNWI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,drama film-noir romancealfred hitchcock carygrant ingridbergman clauderains The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
King Kong,adventure horror sci-fi,merian c. cooper,"[,ernestb.schoedsack,faywray,robertarmstrong,brucecabot,]","A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.","https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,adventure horror sci-fimerian c. cooper ernestb.schoedsack faywray robertarmstrong brucecabot A film crew goes to a tropical island for a location shoot  where they capture a colossal ape who takes a shine to their blonde starlet  and bring him back to New York City.
The Philadelphia Story,comedy romance,george cukor,"[,carygrant,katharinehepburn,jamesstewart,]","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","https://m.media-amazon.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy romancegeorge cukor carygrant katharinehepburn jamesstewart When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage  she begins to learn the truth about herself.
Mildred Pierce,crime drama film-noir,michael curtiz,"[,joancrawford,jackcarson,zacharyscott,]",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,"https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama film-noirmichael curtiz joancrawford jackcarson zacharyscott A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
My Name Is Khan,adventure drama romance,karan johar,"[,shahrukhkhan,kajol,sheetalmenon,]",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,"https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,adventure drama romancekaran johar shahrukhkhan kajol sheetalmenon An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
The Lion in Winter,biography drama history,anthony harvey,"[""petero,toole"",,katharinehepburn,anthonyhopkins,]","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.","https://m.media-amazon.com/images/M/MV5BMTkzNzYyMzA5N15BMl5BanBnXkFtZTgwODcwODQ3MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,"biography drama historyanthony harvey""petero toole""  katharinehepburn anthonyhopkins 1183 A.D.: King Henry II's three sons all want to inherit the throne  but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit  they all variously plot to force him into a decision."
